lifesat,age,gender,income,social_trust,discrimination_index,work_stress,religiosity,social_activity,economic_satisfaction,wellbeing
3.0,44.0,2.0,8.0,3.0,1.9285714285714286,2.6666666666666665,3.5,6.0,4.0,2.0
2.0,41.0,2.0,7.0,1.0,2.0,2.6666666666666665,5.5,5.0,3.3333333333333335,1.75
4.0,23.0,2.0,1.0,0.75,2.0,2.6666666666666665,4.75,6.75,3.3333333333333335,2.25
4.0,19.0,2.0,2.0,1.25,2.0,2.6666666666666665,2.75,7.0,3.3333333333333335,2.25
4.0,47.0,1.0,11.0,5.75,2.0,2.5,4.25,6.75,3.3333333333333335,1.75
2.0,18.0,2.0,1.0,2.5,1.8571428571428572,2.6666666666666665,3.0,6.5,3.3333333333333335,2.5
3.0,63.0,1.0,5.0,1.75,1.9285714285714286,2.3333333333333335,3.5,6.25,3.6666666666666665,1.75
3.0,38.0,2.0,4.0,1.75,1.7857142857142858,2.6666666666666665,3.25,6.5,4.0,2.25
3.0,22.0,1.0,8.0,4.5,2.0,2.3333333333333335,4.0,4.25,3.3333333333333335,2.0
3.0,59.0,2.0,1.0,2.5,2.0,2.6666666666666665,4.0,7.75,3.3333333333333335,2.25
4.0,24.0,1.0,20.0,6.25,2.0,2.3333333333333335,2.5,1.75,3.0,2.75
5.0,22.0,2.0,12.0,2.75,2.0,2.6666666666666665,5.0,7.5,3.0,2.5
3.0,27.0,2.0,10.0,2.25,1.7857142857142858,2.6666666666666665,4.0,6.75,3.6666666666666665,2.25
4.0,42.0,2.0,1.0,2.75,2.0,2.6666666666666665,5.75,8.25,3.3333333333333335,2.0
5.0,44.0,2.0,1.0,3.0,2.0,2.6666666666666665,6.0,7.5,3.3333333333333335,1.5
4.0,34.0,1.0,13.0,3.5,2.0,2.6666666666666665,3.5,6.0,3.0,2.5
3.0,28.0,2.0,11.0,4.0,1.8571428571428572,1.1666666666666667,2.25,6.75,4.333333333333333,2.0
3.0,32.0,1.0,15.0,4.0,2.0,2.1666666666666665,6.5,5.25,3.3333333333333335,2.5
4.0,48.0,2.0,1.0,3.75,2.0,2.6666666666666665,4.5,6.25,3.3333333333333335,2.25
4.0,50.0,2.0,6.0,3.25,2.0,2.3333333333333335,4.0,7.25,4.0,2.25
4.0,37.0,1.0,13.0,4.0,2.0,2.6666666666666665,6.0,4.5,3.6666666666666665,2.5
3.0,61.0,1.0,5.0,6.0,2.0,2.5,2.75,6.75,4.0,1.75
3.0,23.0,2.0,8.0,3.75,2.0,4.5,4.0,6.5,3.0,2.5
2.0,73.0,1.0,5.0,5.25,1.9285714285714286,3.0,5.75,4.0,3.0,1.0
5.0,26.0,1.0,14.0,2.5,2.0,3.3333333333333335,2.5,6.25,1.6666666666666667,2.5
2.0,19.0,1.0,9.0,7.75,2.0,3.5,5.0,7.25,2.6666666666666665,2.5
1.0,38.0,1.0,5.0,1.75,2.0,2.6666666666666665,4.5,7.0,4.0,2.25
4.0,62.0,1.0,9.0,4.75,1.8571428571428572,2.5,1.75,6.25,4.333333333333333,2.5
3.0,28.0,2.0,1.0,0.5,2.0,2.6666666666666665,4.5,5.5,3.3333333333333335,2.5
3.0,20.0,2.0,7.0,3.0,2.0,2.6666666666666665,6.25,5.0,3.0,2.25
2.0,48.0,1.0,13.0,2.5,2.0,2.6666666666666665,5.0,5.0,2.3333333333333335,2.5
3.0,69.0,1.0,5.0,4.0,1.9285714285714286,2.5,4.5,5.75,3.6666666666666665,2.0
2.0,28.0,1.0,11.0,3.0,2.0,1.8333333333333333,2.0,4.0,3.3333333333333335,2.25
2.0,48.0,2.0,7.0,0.75,2.0,2.3333333333333335,3.0,2.5,3.6666666666666665,2.0
4.0,42.0,2.0,10.0,3.0,1.7857142857142858,2.6666666666666665,5.5,4.75,3.6666666666666665,2.0
4.0,48.0,1.0,14.0,0.25,1.8571428571428572,3.3333333333333335,6.0,4.75,3.3333333333333335,2.0
3.0,66.0,1.0,5.0,3.25,1.9285714285714286,2.6666666666666665,4.25,7.0,2.6666666666666665,2.0
4.0,67.0,2.0,3.0,1.0,2.0,2.6666666666666665,4.75,7.0,3.0,2.0
2.0,43.0,2.0,2.0,0.75,2.0,2.6666666666666665,4.25,6.5,4.0,2.25
4.0,26.0,2.0,1.0,4.25,2.0,2.6666666666666665,6.5,7.25,3.3333333333333335,2.0
5.0,20.0,1.0,14.0,3.25,2.0,2.1666666666666665,3.5,6.25,2.6666666666666665,2.0
4.0,18.0,2.0,1.0,0.75,1.9285714285714286,2.6666666666666665,5.0,6.5,3.3333333333333335,2.25
5.0,18.0,1.0,7.0,5.0,2.0,1.6666666666666667,3.5,7.75,3.0,2.75
4.0,52.0,1.0,10.0,2.25,2.0,3.0,4.5,4.0,3.0,2.0
4.0,27.0,1.0,3.0,4.75,2.0,2.6666666666666665,3.75,6.5,3.0,2.5
